;cancer;tissue
1;bladder;bladder
2;breast;breast
3;cervical;cervix
4;colon;colon
5;glioblastoma;central nervous system
6;head and neck;squamous cells (mouth, nose or throat)
7;kidney;kidney
8;leukemia;blood cells
9;glioma;central nervous system
10;liver ;liver
11;lung;lung
12;ovary;ovary
13;pancreas;pancreas
14;prostate ;prostate
15;rectum;colon
16;skin;skin
17;stomach;stomach
18;thyroid;thyroid
19;uterine corpus;uterus
20;lymphoma;lymphatic system
21;myeloma;blood cells
22;cervical-cancer;cervix
23;prostate;prostate
24;bone;bone
25;brain;central nervous system
26;larynx;squamous cells (mouth, nose or throat)
27;neuroblastoma;central nervous system
28;liver;liver
29;liposarcoma;adipocytes
30;atypical-teratoid-rhabdoid-tumors;central nervous system
