"";"study";"msigdb";"random";"event";"cancer";"os";"dfs";"dss";"dmfs";"nGenes";"eventSigs.rdx";"fracSignifGenes.pval";"eventGenes.rdx";"nSamples";"gse";"msigdb.death";"msigdb.relapse";"random.death";"random.relapse";"genes.death";"genes.relapse"
"GSE9893-breast";"GSE9893-breast";0,958004689831592;0,93979057591623;"os";"breast";155;NA;NA;NA;15762;"death";0,594340819692932;"death";155;"GSE9893";0,958004689831592;NA;0,93979057591623;NA;0,594340819692932;NA
"GSE10846-lymphoma";"GSE10846-lymphoma";0,855960967331353;0,865994854202401;"os";"lymphoma";414;NA;NA;NA;20185;"death";0,358929898439435;"death";414;"GSE10846";0,855960967331353;NA;0,865994854202401;NA;0,358929898439435;NA
"GSE32894-bladder";"GSE32894-bladder";0,846910412657687;0,783612987578993;"dss";"bladder";NA;NA;248;NA;15515;"death";0,305897518530454;"death";248;"GSE32894";0,846910412657687;NA;0,783612987578993;NA;0,305897518530454;NA
"GSE41258-colon";"GSE41258-colon";0,813998287671233;0,78021978021978;"dss";"colon";NA;NA;252;NA;12701;"death";0,23250908764529;"death";252;"GSE41258";0,813998287671233;NA;0,78021978021978;NA;0,23250908764529;NA
"KIRC";"KIRC";0,820958845990666;0,777991452991453;"os";"kidney";480;NA;NA;NA;20501;"death";0,542949124432955;"death";480;"KIRC";0,820958845990666;NA;0,777991452991453;NA;0,542949124432955;NA
"NKI";"NKI";0,806548255938369;0,762719395689847;"os";"breast";295;295;NA;295;12937;"death";0,267140759063152;"death";295;"NKI";0,806548255938369;NA;0,762719395689847;NA;0,267140759063152;NA
"oberthuer2006-neuroblastoma";"oberthuer2006-neuroblastoma";0,796336996336996;0,732213438735178;"dss";"neuroblastoma";NA;251;251;NA;9878;"death";0,525410002024701;"death";251;"oberthuer2006-neuroblastoma";0,796336996336996;NA;0,732213438735178;NA;0,525410002024701;NA
"GSE31210-lung-adenocarcinoma";"GSE31210-lung-adenocarcinoma";0,776787608741778;0,701540436456996;"os";"lung";226;226;NA;NA;20027;"death";0,288160982673391;"death";226;"GSE31210-lung";0,776787608741778;NA;0,701540436456996;NA;0,288160982673391;NA
"GSE4271-glioma";"GSE4271-glioma";0,764102564102564;0,697523979478028;"os";"brain";77;NA;NA;NA;12714;"death";0,233915368884694;"death";77;"GSE4271";0,764102564102564;NA;0,697523979478028;NA;0,233915368884694;NA
"GSE13041-GPL8300-glioblastoma";"GSE13041-GPL8300-glioblastoma";0,689145094626931;0,697263259869218;"dss";"brain";NA;NA;49;NA;8657;"death";0,307843363751877;"death";49;"GSE13041-GPL8300";0,689145094626931;NA;0,697263259869218;NA;0,307843363751877;NA
"LGG";"LGG";0,676707679253288;0,655555555555556;"os";"glioma";205;NA;NA;NA;20501;"death";0,348373250085362;"death";205;"LGG";0,676707679253288;NA;0,655555555555556;NA;0,348373250085362;NA
"GSE14520-liver";"GSE14520-liver";0,655047048759624;0,641867739052726;"os";"liver";242;242;NA;NA;12569;"death";0,18847959264858;"death";242;"GSE14520";0,655047048759624;NA;0,641867739052726;NA;0,18847959264858;NA
"metabric-discovery-set";"metabric-discovery-set";0,666595970307529;0,638763683193818;"dss";"breast";980;NA;980;NA;19628;"death";0,297585082535154;"death";980;"metabric-discovery-set";0,666595970307529;NA;0,638763683193818;NA;0,297585082535154;NA
"metabric-validation-set";"metabric-validation-set";0,610604453870626;0,57630392788152;"dss";"breast";991;NA;991;NA;19628;"death";0,240065212961076;"death";991;"metabric-validation-set";0,610604453870626;NA;0,57630392788152;NA;0,240065212961076;NA
"GSE10645-GPL5858-prostate";"GSE10645-GPL5858-prostate";0,570596145226356;0,521193092621664;"dss";"prostate";596;NA;596;NA;596;"death";0,412474849094567;"death";596;"GSE10645-GPL5858";0,570596145226356;NA;0,521193092621664;NA;0,412474849094567;NA
"GSE18229-GPL887-breast";"GSE18229-GPL887-breast";0,582429270368007;0,520919141556471;"os";"breast";53;53;NA;NA;16579;"death";0,107244103986971;"death";53;"GSE18229-GPL887";0,582429270368007;NA;0,520919141556471;NA;0,107244103986971;NA
"GSE12276-breast";"GSE12276-breast";0,558292631131875;0,486678126342931;"dmfs";"breast";NA;NA;NA;204;19944;"relapse";0,164223464812856;"relapse";204;"GSE12276";NA;0,558292631131875;NA;0,486678126342931;NA;0,164223464812856
"UCEC";"UCEC";0,310140008485363;0,483760683760684;"os";"uterine corpus";369;NA;NA;NA;20501;"death";0,147992780839959;"death";369;"UCEC";0,310140008485363;NA;0,483760683760684;NA;0,147992780839959;NA
"GSE25307-breast";"GSE25307-breast";0,526851194700733;0,468435013262599;"os";"breast";547;NA;NA;NA;8428;"death";0,355719031798766;"death";547;"GSE25307";0,526851194700733;NA;0,468435013262599;NA;0,355719031798766;NA
"KIRP";"KIRP";0,476028850233347;0,458333333333333;"os";"kidney";72;NA;NA;NA;20501;"death";0,19257597190381;"death";72;"KIRP";0,476028850233347;NA;0,458333333333333;NA;0,19257597190381;NA
"SKCM";"SKCM";0,480271531607976;0,455982905982906;"os";"skin";242;NA;NA;NA;20501;"death";0,169113701770645;"death";242;"SKCM";0,480271531607976;NA;0,455982905982906;NA;0,169113701770645;NA
"GSE13507-bladder";"GSE13507-bladder";0,564064488756894;0,448822269807281;"dss";"bladder";165;NA;165;NA;20045;"death";0,158144175604889;"death";165;"GSE13507";0,564064488756894;NA;0,448822269807281;NA;0,158144175604889;NA
"GSE18229-GPL1390-breast";"GSE18229-GPL1390-breast";0,437806699381267;0,445444566410538;"os";"breast";160;160;NA;NA;14457;"death";0,192432731548731;"death";160;"GSE18229-GPL1390";0,437806699381267;NA;0,445444566410538;NA;0,192432731548731;NA
"GSE17538-colon";"GSE17538-colon";0,493740717165288;0,442447582370561;"dss";"colon";232;232;226;NA;20027;"death";0,18534977779997;"death";226;"GSE17538";0,493740717165288;NA;0,442447582370561;NA;0,18534977779997;NA
"GSE30929-liposarcoma";"GSE30929-liposarcoma";0,463888888888889;0,432745929065358;"dmfs";"liposarcoma";NA;NA;NA;140;12714;"relapse";0,29314141890829;"relapse";140;"GSE30929";NA;0,463888888888889;NA;0,432745929065358;NA;0,29314141890829
"GSE11318-lymphoma";"GSE11318-lymphoma";0,49013367281986;0,431536157466838;"os";"lymphoma";200;NA;NA;NA;20026;"death";0,16213921901528;"death";200;"GSE11318";0,49013367281986;NA;0,431536157466838;NA;0,16213921901528;NA
"LUAD";"LUAD";0,425965210012728;0,429273504273504;"os";"lung";329;NA;NA;NA;20501;"death";0,154333934930003;"death";329;"LUAD";0,425965210012728;NA;0,429273504273504;NA;0,154333934930003;NA
"GSE1456-GPL96-breast";"GSE1456-GPL96-breast";0,594993581514763;0,425240977359336;"dss";"breast";159;159;159;NA;12495;"death";0,198159263705482;"death";159;"GSE1456-GPL96";0,594993581514763;NA;0,425240977359336;NA;0,198159263705482;NA
"GSE22762-cll";"GSE22762-cll";0,548270740504986;0,396876337184424;"os";"leukemia";107;NA;NA;NA;20027;"death";0,237429470215209;"death";107;"GSE22762";0,548270740504986;NA;0,396876337184424;NA;0,237429470215209;NA
"GSE4412-glioma";"GSE4412-glioma";0,494017094017094;0,38344858353781;"os";"brain";85;NA;NA;NA;12714;"death";0,351187667138587;"death";85;"GSE4412";0,494017094017094;NA;0,38344858353781;NA;0,351187667138587;NA
"GSE33113-colon";"GSE33113-colon";0,504990443830962;0,368285345938977;"dfs";"colon";NA;90;NA;NA;20027;"relapse";0,13475391667926;"relapse";90;"GSE33113";NA;0,504990443830962;NA;0,368285345938977;NA;0,13475391667926
"GSE3494-GPL96-breast";"GSE3494-GPL96-breast";0,471318493150685;0,348284368692532;"dss";"breast";NA;NA;236;NA;12495;"death";0,168693982074264;"death";236;"GSE3494-GPL96";0,471318493150685;NA;0,348284368692532;NA;0,168693982074264;NA
"GSE4922-GPL96-breast";"GSE4922-GPL96-breast";0,445633561643836;0,325633550123346;"dfs";"breast";NA;249;NA;NA;12495;"relapse";0,159811139564661;"relapse";249;"GSE4922-GPL96";NA;0,445633561643836;NA;0,325633550123346;NA;0,159811139564661
"GSE14333-colon";"GSE14333-colon";0,301718650541057;0,32520325203252;"dfs";"colon";NA;226;NA;NA;20027;"relapse";0,238977380536276;"relapse";226;"GSE14333";NA;0,301718650541057;NA;0,32520325203252;NA;0,238977380536276
"GSE44001-cervical-cancer";"GSE44001-cervical-cancer";0,207086781243369;0,297540106951872;"dfs";"cervical";NA;300;NA;NA;20104;"relapse";0,125795861520096;"relapse";300;"GSE44001-cervical";NA;0,207086781243369;NA;0,297540106951872;NA;0,125795861520096
